CDC	CHEFLIE	REG	DEP	COM	AR	CT	TNCC	ARTMAJ	NCC	ARTMIN
0	0	52	44	165	2	07	0		SAINT-HILAIRE-DE-CLISSON		Saint-Hilaire-de-Clisson
0	0	52	44	166	2	23	0		SAINT-JEAN-DE-BOISEAU		Saint-Jean-de-Boiseau
0	0	52	44	168	3	09	0		SAINT-JOACHIM		Saint-Joachim
0	0	52	44	169	2	30	0		SAINT-JULIEN-DE-CONCELLES		Saint-Julien-de-Concelles
0	0	52	44	170	1	06	0		SAINT-JULIEN-DE-VOUVANTES		Saint-Julien-de-Vouvantes
0	0	52	44	171	2	21	0		SAINT-LEGER-LES-VIGNES		Saint-Léger-les-Vignes
0	0	52	44	172	2	04	0		SAINTE-LUCE-SUR-LOIRE		Sainte-Luce-sur-Loire
0	0	52	44	173	2	07	0		SAINT-LUMINE-DE-CLISSON		Saint-Lumine-de-Clisson
0	0	52	44	174	2	28	0		SAINT-LUMINE-DE-COUTAIS		Saint-Lumine-de-Coutais
0	0	52	44	175	3	09	0		SAINT-LYPHARD		Saint-Lyphard
0	0	52	44	176	3	27	0		SAINT-MALO-DE-GUERSAC		Saint-Malo-de-Guersac
0	0	52	44	178	2	10	0		SAINT-MARS-DE-COUTAIS		Saint-Mars-de-Coutais
0	0	52	44	179	1	18	0		SAINT-MARS-DU-DESERT		Saint-Mars-du-Désert
0	0	52	44	180	4	01	0		SAINT-MARS-LA-JAILLE		Saint-Mars-la-Jaille
0	0	52	44	182	3	20	0		SAINT-MICHEL-CHEF-CHEF		Saint-Michel-Chef-Chef
0	0	52	44	183	3	09	0		SAINT-MOLF		Saint-Molf
1	2	52	44	184	3	99	0		SAINT-NAZAIRE		Saint-Nazaire
0	0	52	44	185	1	19	0		SAINT-NICOLAS-DE-REDON		Saint-Nicolas-de-Redon
0	0	52	44	186	2	10	0		SAINTE-PAZANNE		Sainte-Pazanne
0	0	52	44	187	3	23	0		SAINT-PERE-EN-RETZ		Saint-Père-en-Retz
0	1	52	44	188	2	28	0		SAINT-PHILBERT-DE-GRAND-LIEU		Saint-Philbert-de-Grand-Lieu
0	0	52	44	189	3	19	0		SAINTE-REINE-DE-BRETAGNE		Sainte-Reine-de-Bretagne
0	1	52	44	190	2	29	0		SAINT-SEBASTIEN-SUR-LOIRE		Saint-Sébastien-sur-Loire
0	0	52	44	191	4	01	0		SAINT-SULPICE-DES-LANDES		Saint-Sulpice-des-Landes
0	0	52	44	192	3	23	0		SAINT-VIAUD		Saint-Viaud
0	0	52	44	193	1	08	0		SAINT-VINCENT-DES-LANDES		Saint-Vincent-des-Landes
0	0	52	44	194	2	24	0		SAUTRON		Sautron
0	0	52	44	195	3	03	0		SAVENAY		Savenay
0	0	52	44	196	3	19	0		SEVERAC		Sévérac
0	0	52	44	197	1	08	0		SION-LES-MINES		Sion-les-Mines
0	0	52	44	198	2	31	4	(LES)	SORINIERES	(Les)	Sorinières
0	0	52	44	199	1	06	0		SOUDAN		Soudan
0	0	52	44	200	1	06	0		SOULVACHE		Soulvache
0	0	52	44	201	2	05	0		SUCE-SUR-ERDRE		Sucé-sur-Erdre
0	0	52	44	202	4	18	0		TEILLE		Teillé
0	0	52	44	203	2	03	2	(LE)	TEMPLE-DE-BRETAGNE	(Le)	Temple-de-Bretagne
0	0	52	44	204	2	04	0		THOUARE-SUR-LOIRE		Thouaré-sur-Loire
0	0	52	44	205	1	18	4	(LES)	TOUCHES	(Les)	Touches
0	0	52	44	206	2	28	0		TOUVOIS		Touvois
0	0	52	44	207	4	18	0		TRANS-SUR-ERDRE		Trans-sur-Erdre
0	0	52	44	208	1	08	0		TREFFIEUX		Treffieux
0	0	52	44	209	2	05	0		TREILLIERES		Treillières
0	0	52	44	210	3	27	0		TRIGNAC		Trignac
0	0	52	44	211	3	09	3	(LA)	TURBALLE	(La)	Turballe
0	1	52	44	212	2	30	0		VALLET		Vallet
0	0	52	44	213	4	01	0		LOIREAUXENCE		Loireauxence
0	0	52	44	214	1	08	0		VAY		Vay
0	1	52	44	215	2	31	0		VERTOU		Vertou
0	0	52	44	216	2	07	0		VIEILLEVIGNE		Vieillevigne
0	0	52	44	217	2	05	0		VIGNEUX-DE-BRETAGNE		Vigneux-de-Bretagne
0	0	52	44	218	1	06	0		VILLEPOT		Villepot
0	0	52	44	219	4	01	0		VRITZ		Vritz
0	0	52	44	220	2	10	0		VUE		Vue
0	0	52	44	221	1	08	3	(LA)	CHEVALLERAIS	(La)	Chevallerais
0	0	52	44	222	4	01	3	(LA)	ROCHE-BLANCHE	(La)	Roche-Blanche
0	0	52	44	223	2	28	0		GENESTON		Geneston
0	0	52	44	224	1	08	3	(LA)	GRIGONNAIS	(La)	Grigonnais
